image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,imageFam.started,keyFam.started,keyFam.keys,keyFam.rt,textFam.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,10.952478599996539,12.950204699998721,13.450250800000504,13.450250800000504,space,1.0818064000050072,,,,,,,,,,001,2023-05-26_11h37.15.853,REPSWITCH_1,2022.2.5,59.88884629850038,
REPSWITCH1/PICTURE_128.png,muñeca,0,0,0,0,,18.747206600004574,,,,,15.06485110000358,15.06485110000358,16.215466199995717,16.215466199995717,16.215466199995717,space,2.38812789999065,,,001,2023-05-26_11h37.15.853,REPSWITCH_1,2022.2.5,59.88884629850038,
REPSWITCH1/PICTURE_142.png,vaso,0,1,1,1,,22.697902899992187,,,,,23.1978254999849,19.24891110000317,20.513961199991172,20.513961199991172,20.513961199991172,space,2.167350100004114,,,001,2023-05-26_11h37.15.853,REPSWITCH_1,2022.2.5,59.88884629850038,
,,,,,,,,,,,,,23.1978254999849,24.329582000005757,24.329582000005757,24.329582000005757,,,27.21393209998496,,,,,,,
