image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,polygonWhiteFam.stopped,imageFam.stopped,textBlank500.stopped,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,9.590669400058687,11.579279200173914,12.086280600167811,12.086280600167811,space,18.18609660025686,,,,,,,,,,,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Practice/PICTURE_599.png,nube,0,0,0,33,,37.94275910034776,,,,,30.789965299889445,31.922421600669622,31.922421600669622,31.922421600669622,0.006415200419723988,35.40081290062517,37.90109320078045,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h14.16.034.wav,,,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Practice/PICTURE_12.png,sirena,0,1,1,38,,45.64508880022913,,,,,38.44281330052763,39.61054820008576,39.61054820008576,39.61054820008576,0.0013871993869543076,43.096151400357485,45.59640400018543,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h14.23.734.wav,45.64508880022913,45.64508880022913,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_169.png,espalda,0,2,2,5,,53.28560160007328,,,,,46.14576580002904,47.25738830026239,47.25738830026239,47.25738830026239,0.003513699397444725,50.742851400747895,53.24380729999393,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h14.31.373.wav,,,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Practice/PICTURE_614.png,reina,0,3,3,36,,61.00793940015137,,,,,53.785669500008225,54.97342730034143,54.97342730034143,54.97342730034143,0.0038216998800635338,58.45966070052236,60.95929630007595,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h14.39.099.wav,61.00793940015137,61.00793940015137,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_610.png,miel,0,4,4,27,,68.57208940014243,,,,,61.5089023001492,62.54399420041591,62.54399420041591,62.54399420041591,0.004567599855363369,66.02932290080935,68.53071309998631,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h14.46.660.wav,,,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,5,5,2,,76.26681510079652,,,,,69.0721394000575,70.23211270011961,70.23211270011961,70.23211270011961,0.004030000418424606,73.71774760074914,76.21801610011607,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h14.54.358.wav,76.26681510079652,76.26681510079652,76.76669710036367,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_135.png,traje,0,6,6,1,,83.8794298004359,,,,,76.76669710036367,77.85110540036112,77.85110540036112,77.85110540036112,0.0034525003284215927,81.33710420038551,83.83763130009174,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h15.01.967.wav,,,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,0,7,7,24,,91.57472079992294,,,,,84.37936530075967,85.54642149992287,85.54642149992287,85.54642149992287,0.003658900037407875,89.03261810075492,91.53294380009174,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h15.09.662.wav,,,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,8,8,12,,99.17204620037228,,,,,92.07469730079174,93.13795290049165,93.13795290049165,93.13795290049165,0.003751399926841259,96.62315919995308,99.1234338004142,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h15.17.264.wav,99.17204620037228,99.17204620037228,99.67229270003736,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_552.png,manzana,0,9,9,25,,106.74932960048318,,,,,99.67229270003736,100.71497840061784,100.71497840061784,100.71497840061784,0.0036709001287817955,104.20106090046465,106.7007172005251,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h15.24.841.wav,106.74932960048318,106.74932960048318,107.2500626007095,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Practice/PICTURE_110.png,mesa,0,10,10,37,,114.32738160062581,,,,,107.2500626007095,108.29907010030001,108.29907010030001,108.29907010030001,0.003461499698460102,111.78463579993695,114.28571230079979,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h15.32.415.wav,,,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_728.png,pulpo,0,11,11,30,,121.94550039991736,,,,,114.8273130999878,115.9110551001504,115.9110551001504,115.9110551001504,0.003521299920976162,119.39663519989699,121.89690170064569,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h15.40.037.wav,121.94550039991736,121.94550039991736,122.445587400347,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Practice/PICTURE_612.png,rana,0,12,12,32,,129.68949040025473,,,,,122.445587400347,123.65500450041145,123.65500450041145,123.65500450041145,0.0013522002846002579,127.14060309994966,129.64083420019597,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h15.47.778.wav,129.68949040025473,129.68949040025473,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_381.png,fresa,0,13,13,19,,137.36395180039108,,,,,130.1895254002884,131.32958310004324,131.32958310004324,131.32958310004324,0.004322700202465057,134.81508130021393,137.31532170064747,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h15.55.456.wav,137.36395180039108,137.36395180039108,137.86403609998524,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_576.png,guante,0,14,14,26,,144.92033920064569,,,,,137.86403609998524,138.88587910030037,138.88587910030037,138.88587910030037,0.0040132999420166016,142.37151900026947,144.87179809994996,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h16.03.012.wav,144.92033920064569,144.92033920064569,145.42063280008733,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,15,15,9,,152.56725800037384,,,,,145.42063280008733,146.54558050073683,146.54558050073683,146.54558050073683,0.00361619982868433,150.03209850005805,152.53237490076572,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h16.10.661.wav,,,153.06784720066935,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_338.png,regalo,0,16,16,17,,160.21397980023175,,,,,153.06784720066935,154.17935760039836,154.17935760039836,154.17935760039836,0.0035638995468616486,157.66557450033724,160.16520510055125,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h16.18.306.wav,160.21397980023175,160.21397980023175,160.71457390021533,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,17,17,6,,167.88109649997205,,,,,160.71457390021533,161.84699420072138,161.84699420072138,161.84699420072138,0.0036670994013547897,165.33249120041728,167.8327550003305,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h16.25.973.wav,167.88109649997205,167.88109649997205,168.38161050062627,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_8.png,pierna,0,18,18,31,,175.54894710052758,,,,,168.38161050062627,169.5144591005519,169.5144591005519,169.5144591005519,0.0035776998847723007,173.00065710023046,175.5003201002255,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h16.33.641.wav,175.54894710052758,175.54894710052758,176.04967450071126,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_719.png,baño,0,19,19,29,,183.18255840055645,,,,,176.04967450071126,177.15436880011111,177.15436880011111,177.15436880011111,0.0038168001919984818,180.6404453003779,183.14072090014815,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h16.41.271.wav,,,,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,20,20,14,,190.84312919992954,,,,,183.68250290025026,184.80797880049795,184.80797880049795,184.80797880049795,0.004454299807548523,188.29433840047568,190.7938588000834,C:\Users\Experimental User\Desktop\experiment\data/010100_Fam_2023-07-17_16h13.45.961_micFam_recorded\recording_micFam_2023-07-17_16h16.48.935.wav,190.84312919992954,190.84312919992954,191.34309950005263,,,,,010100,001,2023-07-17_16h13.45.961,Fam,2022.2.4,143.94764987299934,
