image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,textBlankLoop.started,polygonWhiteFam.stopped,imageFam.stopped,textBlankLoop.stopped,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_599.png,nube,0,11,11,33,,,,,,110.86612819996662,111.99824079999235,111.99824079999235,111.99824079999235,111.99824079999235,115.49174099997617,117.99206319998484,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_Fam_2023-11-16_11h56.26.531_micFam_recorded\recording_micFam_2023-11-16_11h58.12.927.wav,118.02675660001114,118.02675660001114,118.02675660001114,118.52691959997173,,,,,040202,001,2023-11-16_11h56.26.531,REPSWITCH1_Fam,2022.2.4,144.06274238814345,
REPSWITCH1_Fam/PICTURE_464.png,goma,0,12,12,21,,,,,,118.52691959997173,119.54087779996917,119.54087779996917,119.54087779996917,119.54087779996917,123.03437030001078,125.53471319994424,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_Fam_2023-11-16_11h56.26.531_micFam_recorded\recording_micFam_2023-11-16_11h58.20.470.wav,125.56942640000489,125.56942640000489,125.56942640000489,126.06951219995972,,,,,040202,001,2023-11-16_11h56.26.531,REPSWITCH1_Fam,2022.2.4,144.06274238814345,
REPSWITCH1_Fam/PICTURE_687.png,camisa,0,13,13,28,,,,,,126.06951219995972,127.08354230003897,127.08354230003897,127.08354230003897,127.08354230003897,130.57704959996045,133.07734269998036,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_Fam_2023-11-16_11h56.26.531_micFam_recorded\recording_micFam_2023-11-16_11h58.28.012.wav,133.11211530002765,133.11211530002765,133.11211530002765,133.61219759995583,,,,,040202,001,2023-11-16_11h56.26.531,REPSWITCH1_Fam,2022.2.4,144.06274238814345,
REPSWITCH1_Fam/PICTURE_446.png,cerdo,0,14,14,20,,,,,,133.61219759995583,134.7095910999924,134.7095910999924,134.7095910999924,134.7095910999924,138.20310709998012,140.70334909996018,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_Fam_2023-11-16_11h56.26.531_micFam_recorded\recording_micFam_2023-11-16_11h58.35.640.wav,140.73811859998386,140.73811859998386,140.73811859998386,141.23813309997786,,,,,040202,001,2023-11-16_11h56.26.531,REPSWITCH1_Fam,2022.2.4,144.06274238814345,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,15,15,6,,,,,,141.23813309997786,142.286994199967,142.286994199967,142.286994199967,142.286994199967,145.78048279997893,148.28081519994885,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_Fam_2023-11-16_11h56.26.531_micFam_recorded\recording_micFam_2023-11-16_11h58.43.217.wav,148.31551270000637,148.31551270000637,148.31551270000637,148.8156111999415,,,,,040202,001,2023-11-16_11h56.26.531,REPSWITCH1_Fam,2022.2.4,144.06274238814345,
REPSWITCH1_Fam/PICTURE_673.png,tenedor,0,16,16,44,,,,,,148.8156111999415,149.8851532000117,149.8851532000117,149.8851532000117,149.8851532000117,153.37863000005018,155.87895939999726,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_Fam_2023-11-16_11h56.26.531_micFam_recorded\recording_micFam_2023-11-16_11h58.50.815.wav,155.91369079996366,155.91369079996366,155.91369079996366,156.41382310003974,,,,,040202,001,2023-11-16_11h56.26.531,REPSWITCH1_Fam,2022.2.4,144.06274238814345,
REPSWITCH1_Fam/PICTURE_391.png,cadena,0,17,17,40,,,,,,156.41382310003974,157.6430701999925,157.6430701999925,157.6430701999925,157.6430701999925,161.1365780000342,163.63690439995844,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_Fam_2023-11-16_11h56.26.531_micFam_recorded\recording_micFam_2023-11-16_11h58.58.573.wav,163.67164139996748,163.67164139996748,163.67164139996748,164.17177510005422,,,,,040202,001,2023-11-16_11h56.26.531,REPSWITCH1_Fam,2022.2.4,144.06274238814345,
REPSWITCH1_Fam/PICTURE_576.png,guante,0,18,18,26,,,,,,164.17177510005422,165.31080320000183,165.31080320000183,165.31080320000183,165.31080320000183,168.8042421999853,171.30458590004127,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_Fam_2023-11-16_11h56.26.531_micFam_recorded\recording_micFam_2023-11-16_11h59.06.240.wav,171.33935370005202,171.33935370005202,171.33935370005202,171.8393541999394,,,,,040202,001,2023-11-16_11h56.26.531,REPSWITCH1_Fam,2022.2.4,144.06274238814345,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,19,19,12,,,,,,171.8393541999394,173.01311970001552,173.01311970001552,173.01311970001552,173.01311970001552,176.5066595999524,179.00697079999372,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_Fam_2023-11-16_11h56.26.531_micFam_recorded\recording_micFam_2023-11-16_11h59.13.942.wav,179.04171020002104,179.04171020002104,179.04171020002104,179.5417737000389,,,,,040202,001,2023-11-16_11h56.26.531,REPSWITCH1_Fam,2022.2.4,144.06274238814345,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,20,20,7,,,,,,179.5417737000389,180.58358109998517,180.58358109998517,180.58358109998517,180.58358109998517,184.0770878000185,186.57743219996337,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_Fam_2023-11-16_11h56.26.531_micFam_recorded\recording_micFam_2023-11-16_11h59.21.513.wav,186.61218950001057,186.61218950001057,186.61218950001057,187.11219170002732,,,,,040202,001,2023-11-16_11h56.26.531,REPSWITCH1_Fam,2022.2.4,144.06274238814345,
