image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,respModal,frameColor,repSwitch,sequence,target,textWelcome.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,14.866529799997807,16.880704600014724,17.381592000019737,17.381592000019737,space,9.496179500012659,,,,,,,,,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_128.png,muñeca,0,0,0,0,,,,,,,,,,,35.97620930001722,,,,,27.410969000018667,27.410969000018667,28.49405919999117,28.49405919999117,28.49405919999117,32.49384660000214,32.49384660000214,32.960435100016184,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_142.png,vaso,0,1,1,1,,,,,,,,,,,45.2405345000152,,,,,45.74029509999673,36.47610220001661,37.74325349999708,37.74325349999708,37.74325349999708,41.75797279999824,41.75797279999824,42.24151950000669,45.2405345000152,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_152.png,caracol,0,2,2,2,,,,,,,,,,,54.40564370001084,,,,,54.90518500001053,45.74029509999673,46.90746139999828,46.90746139999828,46.90746139999828,50.90665240000817,50.90665240000817,51.40562120001414,54.40564370001084,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_16.png,cazador,0,3,3,3,,,,,,,,,,,63.68731830001343,,,,,,54.90518500001053,56.17196820001118,56.17196820001118,56.17196820001118,60.17198549999739,60.17198549999739,60.68655780001427,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_175.png,pintor,0,4,4,4,,,,,,,,,,,72.88589320000028,,,,,73.38523310000892,64.18619269999908,65.38656519999495,65.38656519999495,65.38656519999495,69.38508239999646,69.38508239999646,69.88528260000749,72.88589320000028,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_178.png,puente,0,5,5,5,,,,,,,,,,,82.16537170001538,,,,,,73.38523310000892,74.66724840001552,74.66724840001552,74.66724840001552,78.6671491000161,78.6671491000161,79.16538570000557,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_19.png,pavo,0,6,6,6,,,,,,,,,,,91.29774670000188,,,,,,82.66597470000852,83.79832960001659,83.79832960001659,83.79832960001659,87.79824679999729,87.79824679999729,88.29628340000636,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_199.png,falda,0,7,7,7,,,,,,,,,,,100.41205899999477,,,,,,91.79764010000508,92.91315520001808,92.91315520001808,92.91315520001808,96.91321600001538,96.91321600001538,97.41110470000422,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_235.png,aguja,0,8,8,8,,,,,,,,,,,109.5431346000114,,,,,,100.91254000001936,102.04404690000229,102.04404690000229,102.04404690000229,106.04449950001435,106.04449950001435,106.5421266000194,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
