image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,polygonWhiteFam.stopped,imageFam.stopped,micFam.clip,textBlankLoop.started,textBlankLoop.stopped,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_110.png,mesa,0,9,9,37,,,,,,111.11547720001545,112.14340070000617,112.14340070000617,112.14340070000617,112.14340070000617,115.6368467999855,118.1372149999952,118.17191480001202,118.17191480001202,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h30.20.843.wav,118.17191480001202,118.6719767000177,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,10,10,12,,,,,,118.6719767000177,119.83190019999165,119.83190019999165,119.83190019999165,119.83190019999165,123.32540400000289,125.8257199000218,125.86041019996628,125.86041019996628,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h30.28.531.wav,125.86041019996628,126.36050599999726,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_12.png,sirena,0,11,11,38,,,,,,126.36050599999726,127.55510330002289,127.55510330002289,127.55510330002289,127.55510330002289,131.04858429997694,133.5489082999993,133.58366529998602,133.58366529998602,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h30.36.255.wav,133.58366529998602,134.08374550001463,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,12,12,7,,,,,,134.08374550001463,135.1463720999891,135.1463720999891,135.1463720999891,135.1463720999891,138.63986439997097,141.14022389997263,141.17492269998183,141.17492269998183,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h30.43.846.wav,141.17492269998183,141.67500779998954,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,13,13,9,,,,,,141.67500779998954,142.88350260001607,142.88350260001607,142.88350260001607,142.88350260001607,146.37698970001657,148.8773372999858,148.9120470000198,148.9120470000198,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h30.51.583.wav,148.9120470000198,149.41212990001077,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_319.png,vaca,0,14,14,15,,,,,,149.41212990001077,150.48170050000772,150.48170050000772,150.48170050000772,150.48170050000772,153.97523149999324,156.4755497999722,156.51028909999877,156.51028909999877,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h30.59.182.wav,156.51028909999877,157.01034269999946,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_590.png,escoba,0,15,15,41,,,,,,157.01034269999946,158.20493999996688,158.20493999996688,158.20493999996688,158.20493999996688,161.6984793000156,164.19877439999254,164.23352289997274,164.23352289997274,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h31.06.905.wav,164.23352289997274,164.73358010000084,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_612.png,rana,0,16,16,32,,,,,,164.73358010000084,165.78925949998666,165.78925949998666,165.78925949998666,165.78925949998666,169.28281489998335,171.7831068999949,171.81782359996578,171.81782359996578,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h31.14.489.wav,171.81782359996578,172.31788340001367,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_35.png,oreja,0,17,17,18,,,,,,172.31788340001367,173.4222076999722,173.4222076999722,173.4222076999722,173.4222076999722,176.91573010000866,179.41605659999186,179.4507899999735,179.4507899999735,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h31.22.122.wav,179.4507899999735,179.95082319999347,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_464.png,goma,0,18,18,21,,,,,,179.95082319999347,180.9995919999783,180.9995919999783,180.9995919999783,180.9995919999783,184.49317370000063,186.99343279999448,187.02816709998297,187.02816709998297,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h31.29.699.wav,187.02816709998297,187.52830200002063,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
