image,correctAns,frameColor,repSwitch,sequence,respModal,target,trialsPractice_2.thisRepN,trialsPractice_2.thisTrialN,trialsPractice_2.thisN,trialsPractice_2.thisIndex,textWelcomePractice_2.started,textBlank500.started,textInstrPractice_2.started,keyInstrPractice_2.started,keyInstrPractice_2.keys,keyInstrPractice_2.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonCol_2.started,polygonWh_2.started,imagePractice_2.started,polygonText_2.started,textPractice_2.started,keyPractice_2.started,micPractice_2.started,micPractice_2.stopped,keyPractice_2.keys,keyPractice_2.corr,subjResponse,micPractice_2.clip,keyPractice_2.rt,polygonCol_2.stopped,polygonWh_2.stopped,imagePractice_2.stopped,polygonText_2.stopped,textPractice_2.stopped,keyPractice_2.stopped,textEndPractice_2.started,textEndPractice_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Practice_2/PICTURE_498.png,taza,blue,filler,1,type,F,0,14,14,14,,96.64387339999666,,,,,,92.44506639998872,93.62944869999774,93.62944869999774,93.62944869999774,93.62944869999774,93.62944869999774,93.62944869999774,93.62944869999774,0.0023781000054441392,2.000045000007958,"['t', 'a', 'z', 'a']",0,taza,D:\GitHub\experiment1\data/5_REPSWITCH1_Practice_2_2023-06-20_10h41.37.958_micPractice_2_recorded\recording_micPractice_2_2023-06-20_10h42.58.780.wav,"[1.2329985000105808, 1.335138000009465, 1.5786065000138478, 1.7584758000157308]",,,,,,,,,5,001,2023-06-20_10h41.37.958,REPSWITCH1_Practice_2,2022.2.5,59.796202577686046,
REPSWITCH1_Practice_2/PICTURE_673.png,tenedor,blue,filler,1,type,F,0,15,15,15,,101.17699979999452,,,,,101.67635289998725,97.14428389999375,98.17772109998623,98.17772109998623,98.17772109998623,98.17772109998623,98.17772109998623,98.17772109998623,98.17772109998623,0.0026501999964239076,2.0002395000046818,"['t', 'e', 'n', 'e', 'd', 'o', 'r']",0,tenedor,D:\GitHub\experiment1\data/5_REPSWITCH1_Practice_2_2023-06-20_10h41.37.958_micPractice_2_recorded\recording_micPractice_2_2023-06-20_10h43.03.311.wav,"[1.15312640000775, 1.2860421000077622, 1.43681640001887, 1.5415486000129022, 1.7082709000096656, 1.8052688000170747, 1.9391106000111904]",101.17699979999452,101.17699979999452,101.17699979999452,101.17699979999452,101.17699979999452,101.17699979999452,,,5,001,2023-06-20_10h41.37.958,REPSWITCH1_Practice_2,2022.2.5,59.796202577686046,
REPSWITCH1_Practice_2/PICTURE_749.png,basura,yellow,filler,2,speak,F,0,16,16,16,,105.84212119999574,,,,,106.34168189999764,101.67635289998725,102.84378739999374,102.84378739999374,102.84378739999374,102.84378739999374,102.84378739999374,102.84378739999374,102.84378739999374,0.003423699992708862,2.000743500000681,None,0,,D:\GitHub\experiment1\data/5_REPSWITCH1_Practice_2_2023-06-20_10h41.37.958_micPractice_2_recorded\recording_micPractice_2_2023-06-20_10h43.07.976.wav,,,,,,,,,,5,001,2023-06-20_10h41.37.958,REPSWITCH1_Practice_2,2022.2.5,59.796202577686046,
REPSWITCH1_Practice_2/PICTURE_279.png,piedra,yellow,nontarget,2,speak,NT,0,17,17,17,,110.55720549999387,,,,,111.05733409999812,106.34168189999764,107.55923400000029,107.55923400000029,107.55923400000029,107.55923400000029,107.55923400000029,107.55923400000029,107.55923400000029,0.002384799998253584,2.0002252999984194,None,0,,D:\GitHub\experiment1\data/5_REPSWITCH1_Practice_2_2023-06-20_10h41.37.958_micPractice_2_recorded\recording_micPractice_2_2023-06-20_10h43.12.692.wav,,,,,,,,,,5,001,2023-06-20_10h41.37.958,REPSWITCH1_Practice_2,2022.2.5,59.796202577686046,
REPSWITCH1_Practice_2/PICTURE_279.png,piedra,yellow,repeat,2,speak,T,0,18,18,18,,115.25630509998882,,,,,115.75641969998833,111.05733409999812,112.25817359999928,112.25817359999928,112.25817359999928,112.25817359999928,112.25817359999928,112.25817359999928,112.25817359999928,0.002362100000027567,1.9994347000028938,None,0,,D:\GitHub\experiment1\data/5_REPSWITCH1_Practice_2_2023-06-20_10h41.37.958_micPractice_2_recorded\recording_micPractice_2_2023-06-20_10h43.17.391.wav,,115.25630509998882,115.25630509998882,115.25630509998882,115.25630509998882,115.25630509998882,115.25630509998882,,,5,001,2023-06-20_10h41.37.958,REPSWITCH1_Practice_2,2022.2.5,59.796202577686046,
REPSWITCH1_Practice_2/PICTURE_498.png,taza,blue,filler,1,type,F,0,19,19,19,,119.87215069998638,,,,,120.37172139999166,115.75641969998833,116.87323259998811,116.87323259998811,116.87323259998811,116.87323259998811,116.87323259998811,116.87323259998811,116.87323259998811,0.002362400002311915,2.0006970000104047,"['t', 'a', 'z', 'a']",0,taza,D:\GitHub\experiment1\data/5_REPSWITCH1_Practice_2_2023-06-20_10h41.37.958_micPractice_2_recorded\recording_micPractice_2_2023-06-20_10h43.22.006.wav,"[1.340979900007369, 1.4329628999985289, 1.672773700003745, 1.8858053000003565]",119.87215069998638,119.87215069998638,119.87215069998638,119.87215069998638,119.87215069998638,119.87215069998638,,,5,001,2023-06-20_10h41.37.958,REPSWITCH1_Practice_2,2022.2.5,59.796202577686046,
REPSWITCH1_Practice_2/PICTURE_354.png,cabra,yellow,nontarget,2,speak,NT,0,20,20,20,,124.62056309999025,,,,,125.1207441999868,120.37172139999166,121.6221297999873,121.6221297999873,121.6221297999873,121.6221297999873,121.6221297999873,121.6221297999873,121.6221297999873,0.002442299999529496,1.9999776000040583,None,0,,D:\GitHub\experiment1\data/5_REPSWITCH1_Practice_2_2023-06-20_10h41.37.958_micPractice_2_recorded\recording_micPractice_2_2023-06-20_10h43.26.755.wav,,124.62056309999025,124.62056309999025,124.62056309999025,124.62056309999025,124.62056309999025,124.62056309999025,,,5,001,2023-06-20_10h41.37.958,REPSWITCH1_Practice_2,2022.2.5,59.796202577686046,
REPSWITCH1_Practice_2/PICTURE_354.png,cabra,blue,switch,1,type,T,0,21,21,21,,129.26948339999944,,,,,129.76959519999218,125.1207441999868,126.27157420000003,126.27157420000003,126.27157420000003,126.27157420000003,126.27157420000003,126.27157420000003,126.27157420000003,0.002361999999266118,1.9994824000023073,"['g', 'o', 'a', 't']",0,goat,D:\GitHub\experiment1\data/5_REPSWITCH1_Practice_2_2023-06-20_10h41.37.958_micPractice_2_recorded\recording_micPractice_2_2023-06-20_10h43.31.404.wav,"[0.6899095000117086, 0.8287776000070153, 0.9750887000118382, 1.0346124000207055]",129.26948339999944,129.26948339999944,129.26948339999944,129.26948339999944,129.26948339999944,129.26948339999944,,,5,001,2023-06-20_10h41.37.958,REPSWITCH1_Practice_2,2022.2.5,59.796202577686046,
REPSWITCH1_Practice_2/PICTURE_502.png,pastor,blue,nontarget,1,type,NT,0,22,22,22,,134.01817839998694,,,,,134.51851969999552,129.76959519999218,131.02033019998635,131.02033019998635,131.02033019998635,131.02033019998635,131.02033019998635,131.02033019998635,131.02033019998635,0.0025529999984428287,1.999861400006921,"['f', 'a', 'r', 'm', 'e', 'r']",0,farmer,D:\GitHub\experiment1\data/5_REPSWITCH1_Practice_2_2023-06-20_10h41.37.958_micPractice_2_recorded\recording_micPractice_2_2023-06-20_10h43.36.154.wav,"[0.9572136000060709, 1.1109678000066197, 1.2068329000030644, 1.5488514000171563, 1.7251116000115871, 1.7759629000065615]",134.01817839998694,134.01817839998694,134.01817839998694,134.01817839998694,134.01817839998694,134.01817839998694,,,5,001,2023-06-20_10h41.37.958,REPSWITCH1_Practice_2,2022.2.5,59.796202577686046,
REPSWITCH1_Practice_2/PICTURE_502.png,pastor,blue,repeat,1,type,T,0,23,23,23,,138.6008693999902,,,,,139.10039819999656,134.51851969999552,135.6024092999869,135.6024092999869,135.6024092999869,135.6024092999869,135.6024092999869,135.6024092999869,135.6024092999869,0.002518299996154383,2.000533099999302,"['f', 'a', 'r', 'm', 'e', 'r']",0,farmer,D:\GitHub\experiment1\data/5_REPSWITCH1_Practice_2_2023-06-20_10h41.37.958_micPractice_2_recorded\recording_micPractice_2_2023-06-20_10h43.40.735.wav,"[0.8776025999977719, 1.0349103000044124, 1.1578456999995979, 1.313771100001759, 1.4533926000003703, 1.5210518000094453]",138.6008693999902,138.6008693999902,138.6008693999902,138.6008693999902,138.6008693999902,138.6008693999902,,,5,001,2023-06-20_10h41.37.958,REPSWITCH1_Practice_2,2022.2.5,59.796202577686046,
,,,,,,,,,,,,139.10039819999656,,,,,139.6007399999944,,,,,,,,,,,,,,,,,,,,,,139.6007399999944,144.54783509999106,,,,,,,
