Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V2L2_p360202_tr100_type_bombero;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr101_speak_cadena;cuerda (...) cadena;2392.000;346.615;1;0;;said cuerda at first, then corrected it to caena;1;
recording_V2L2_p360202_tr102_type_escoba;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr103_type_espejo;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr104_speak_cadena;cadena;1232.000;474.647;;;;;;
recording_V2L2_p360202_tr105_speak_puente;puente;1064.000;419.519;;;;;;
recording_V2L2_p360202_tr106_speak_puente;puente;632.000;445.831;;;;;;
recording_V2L2_p360202_tr107_type_vaca;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr108_speak_fresa;fresa;897.807;540.072;;;;;;
recording_V2L2_p360202_tr109_speak_fresa;fresa;765.959;529.930;;;;;;
recording_V2L2_p360202_tr10_speak_espalda;espalda;1057.547;651.636;;;;;;
recording_V2L2_p360202_tr110_type_baño;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr111_speak_traje;traje;976.000;418.775;;;;;;
recording_V2L2_p360202_tr112_type_traje;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr113_speak_camisa;camisa;920.000;451.955;;;;;;
recording_V2L2_p360202_tr114_type_muñeca;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr115_speak_muñeca;muñeca;720.319;527.394;;;;;;
recording_V2L2_p360202_tr116_speak_pierna;pierna;667.072;504.574;;;;;;
recording_V2L2_p360202_tr117_speak_pavo;pavo;792.000;387.253;;;;;;
recording_V2L2_p360202_tr118_type_pavo;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr119_type_cazador;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr11_type_espalda;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr120_type_cazador;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr121_speak_taza;taza;745.674;398.081;;;;;;
recording_V2L2_p360202_tr122_type_bombero;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr123_type_vaso;[type];0;3000.000;;;;;;
recording_V2L2_p360202_tr124_type_vaso;[type];0;3000.000;;;;;;
