image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv2l2.started;keyResp.keys;keyResp.corr;subjResponse;micRespv2l2.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;keyResp.rt;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
REPSWITCH1/PICTURE_719.png;baño;type;gold;filler;1;F;1;3;2;2;Stim2_Set4;0;None;9;8;9;0;8;8;8;;;;;;;;;;;;;;;;;;;;;;;64.2815401;65.4969875;65.4969875;65.4969875;65.4969875;65.4969875;65.4969875;65.4969875;65.4969875;['b', 'a', 'ñ', 'o'];0;baño;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.32.537.wav;68.51817;69.0182365;None;68.51817;68.51817;68.51817;68.51817;68.51817;68.51817;[1.3236773000098765, 1.5250513998325914, 2.064500199863687, 2.2703674000222236];;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_169.png;espalda;speak;darkblue;nontarget;2;NT;1;3;2;2;Stim8_Set1;0;None;10;9;10;0;9;9;9;;;;;;;;;;;;;;;;;;;;;;;69.0182365;70.1226419;70.1226419;70.1226419;70.1226419;70.1226419;70.1226419;70.1226419;70.1226419;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.37.162.wav;73.1438104;73.6438831;None;73.1438104;73.1438104;73.1438104;73.1438104;73.1438104;73.1438104;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_169.png;espalda;type;gold;switch;1;T;1;3;2;2;Stim8_Set1;0;None;11;10;11;0;10;10;10;;;;;;;;;;;;;;;;;;;;;;;73.6438831;74.7134772;74.7134772;74.7134772;74.7134772;74.7134772;74.7134772;74.7134772;74.7134772;['e', 's', 'p', 'a', 'l', 'd', 'a'];0;espalda;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.41.753.wav;77.7346576;78.2348328;None;77.7346576;77.7346576;77.7346576;77.7346576;77.7346576;77.7346576;[0.8614816998597234, 1.0792651998344809, 1.2250869998242706, 1.3706065998412669, 1.5110863000154495, 1.8549562999978662, 1.9450244000181556];;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_687.png;camisa;type;gold;filler;1;F;1;3;2;2;Stim5_Set4;0;None;12;11;12;0;11;11;11;;;;;;;;;;;;;;;;;;;;;;;78.2348328;79.3529858;79.3529858;79.3529858;79.3529858;79.3529858;79.3529858;79.3529858;79.3529858;['c', 'a', 'm', 'i', 's', 'a'];0;camisa;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.46.393.wav;82.3742563;82.8742292;None;82.3742563;82.3742563;82.3742563;82.3742563;82.3742563;82.3742563;[1.1322911998722702, 1.2359704996924847, 1.5848180998582393, 1.8112372998148203, 1.9916663998737931, 2.21340289991349];;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_178.png;puente;type;gold;nontarget;1;NT;1;3;2;2;Stim1_Set1;1;repeat;13;12;13;0;12;12;12;;;;;;;;;;;;;;;;;;;;;;;82.8742292;83.9994429;83.9994429;83.9994429;83.9994429;83.9994429;83.9994429;83.9994429;83.9994429;['p', 'u', 'e', 'n', 't', 'e'];0;puente;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.51.040.wav;87.0275725;;None;87.0275725;87.0275725;87.0275725;87.0275725;87.0275725;87.0275725;[1.36984709976241, 1.7448366999160498, 1.9067290998063982, 2.111032399814576, 2.318336699856445, 2.416539799887687];;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_178.png;puente;speak;darkblue;switch;2;T;1;3;2;2;Stim1_Set1;0;None;14;13;14;0;13;13;13;;;;;;;;;;;;;;;;;;;;;;;87.5276243;88.6389118;88.6389118;88.6389118;88.6389118;88.6389118;88.6389118;88.6389118;88.6389118;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.55.678.wav;91.6601066;92.1601631;None;91.6601066;91.6601066;91.6601066;91.6601066;91.6601066;91.6601066;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_128.png;muñeca;speak;darkblue;nontarget;2;NT;1;3;2;2;Stim4_Set1;1;repeat;15;14;15;0;14;14;14;;;;;;;;;;;;;;;;;;;;;;;92.1601631;93.3686924;93.3686924;93.3686924;93.3686924;93.3686924;93.3686924;93.3686924;93.3686924;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h43.00.408.wav;96.3898939;96.8900444;None;96.3898939;96.3898939;96.3898939;96.3898939;96.3898939;96.3898939;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_128.png;muñeca;type;gold;switch;1;T;1;3;2;2;Stim4_Set1;0;None;16;15;16;0;15;15;15;;;;;;;;;;;;;;;;;;;;;;;96.8900444;98.0220637;98.0220637;98.0220637;98.0220637;98.0220637;98.0220637;98.0220637;98.0220637;['backspace', 'm', 'u', 'ñ', 'e'];0;muñe;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h43.05.062.wav;101.0433005;101.5433699;None;101.0433005;101.0433005;101.0433005;101.0433005;101.0433005;101.0433005;[1.8587217996828258, 2.2228854997083545, 2.437595099909231, 2.888466299744323, 2.969142999732867];;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_319.png;vaca;speak;darkblue;filler;2;F;1;3;2;2;Stim1_Set4;1;switch;17;16;17;0;16;16;16;;;;;;;;;;;;;;;;;;;;;;;101.5433699;102.578251;102.578251;102.578251;102.578251;102.578251;102.578251;102.578251;102.578251;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h43.09.618.wav;105.5995268;106.0995199;None;105.5995268;105.5995268;105.5995268;105.5995268;105.5995268;105.5995268;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_728.png;pulpo;speak;darkblue;filler;2;F;1;3;2;2;Stim8_Set4;0;None;18;17;18;0;17;17;17;;;;;;;;;;;;;;;;;;;;;;;106.0995199;107.2315902;107.2315902;107.2315902;107.2315902;107.2315902;107.2315902;107.2315902;107.2315902;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h43.14.270.wav;110.2528441;110.7529011;None;110.2528441;110.2528441;110.2528441;110.2528441;110.2528441;110.2528441;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
