Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V2L4_p080204_tr100_type_aguja;[type];0;3000;;;;;;
recording_V2L4_p080204_tr101_type_baño;[type];0;3000;;;;;;
recording_V2L4_p080204_tr102_type_baño;[type];0;3000;;;;;;
recording_V2L4_p080204_tr103_speak_tronco;tronco;890.258;410.63;;;;;;
recording_V2L4_p080204_tr104_type_espejo;[type];0;3000;;;;;;
recording_V2L4_p080204_tr105_speak_regalo;regalo;751.272;480.728;;;;;;
recording_V2L4_p080204_tr106_speak_vaso;vaso;856;397.746;;;;;;
recording_V2L4_p080204_tr107_speak_vaso;vaso;784;408;;;;;;
recording_V2L4_p080204_tr108_type_taza;[type];0;3000;;;;;;
recording_V2L4_p080204_tr109_speak_cazador;cazador;776;504;;;;;;
recording_V2L4_p080204_tr10_type_vaso;[type];0;3000;;;;;;
recording_V2L4_p080204_tr110_speak_cazador;cazador;784;583.879;;;;;;
recording_V2L4_p080204_tr111_type_baño;[type];0;3000;;;;;;
recording_V2L4_p080204_tr112_speak_espalda;[type];0;3000;0;;;typed instead of speaking, did not realise the mistake;1;
recording_V2L4_p080204_tr113_type_espalda;[type];0;3000;;;;;;
recording_V2L4_p080204_tr114_type_camisa;[type];0;3000;;;;;;
recording_V2L4_p080204_tr115_type_puente;[type];0;3000;;;;;;
recording_V2L4_p080204_tr116_speak_puente;puente;1054.014;393.986;;;;;;
recording_V2L4_p080204_tr117_speak_muñeca;muñeca;777.392;637.629;;;;;;
recording_V2L4_p080204_tr118_type_muñeca;[type];0;3000;;;;;;
recording_V2L4_p080204_tr119_speak_vaca;vaca;768;410.071;;;;;;
recording_V2L4_p080204_tr11_type_regalo;[type];0;3000;;;;;;
recording_V2L4_p080204_tr120_speak_pulpo;pulpo;691.98;453.836;;;;;;
recording_V2L4_p080204_tr121_type_fresa;[type];0;3000;;;;;;
recording_V2L4_p080204_tr122_type_fresa;[type];0;3000;;;;;;
recording_V2L4_p080204_tr123_speak_pierna;pierna;976;384;;;;;;
recording_V2L4_p080204_tr124_speak_bombero;bombero;688;554.581;;;;;;
recording_V2L4_p080204_tr125_type_traje;[type];0;3000;;;;;;
recording_V2L4_p080204_tr126_type_traje;[type];0;3000;;;;;;
recording_V2L4_p080204_tr127_type_pavo;[type];0;3000;;;;;;
recording_V2L4_p080204_tr128_speak_pavo;pavo;736;288;;;;;;
recording_V2L4_p080204_tr129_speak_vaso;vaso;891.499;412.501;;;;;;
recording_V2L4_p080204_tr12_type_traje;[type];0;3000;;;;;;
recording_V2L4_p080204_tr130_type_traje;[type];0;3000;;;;;;
recording_V2L4_p080204_tr131_type_cerdo;[type];0;3000;;;;;;
recording_V2L4_p080204_tr132_type_cerdo;[type];0;3000;;;;;;
recording_V2L4_p080204_tr133_speak_cazador;cazador;736;504.1;;;;tongue;;
recording_V2L4_p080204_tr134_type_manzana;[type];0;3000;;;;mic sound;;
recording_V2L4_p080204_tr135_type_manzana;[type];0;3000;;;;;;
recording_V2L4_p080204_tr136_type_cuerda;[type];0;3000;;;;;;
recording_V2L4_p080204_tr137_speak_cuerda;cuerda;848;360;;;;tongue;;
recording_V2L4_p080204_tr138_speak_espalda;espalda;744;576;;;;;;
recording_V2L4_p080204_tr139_speak_granja;granja;824;512;;;;;;
recording_V2L4_p080204_tr13_speak_traje;traje;799.697;408.303;;;;;;
recording_V2L4_p080204_tr140_type_granja;[type];0;3000;;;;;;
recording_V2L4_p080204_tr141_type_muñeca;[type];0;3000;;;;;;
recording_V2L4_p080204_tr142_type_falda;[type];0;3000;;;;;;
recording_V2L4_p080204_tr143_speak_falda;falda;747.032;460.968;;;;tongue;;
recording_V2L4_p080204_tr144_speak_caracol;caracol;648;448;;;;;;
recording_V2L4_p080204_tr145_speak_caracol;caracol;598.855;498.71;;;;;;
recording_V2L4_p080204_tr146_type_fresa;[type];0;3000;;;;;;
recording_V2L4_p080204_tr147_speak_pintor;pintor;744;443.996;;;;;;
recording_V2L4_p080204_tr148_speak_pintor;pintor;738.224;446.05;;;;;;
recording_V2L4_p080204_tr149_type_puente;[type];0;3000;;;;;;
recording_V2L4_p080204_tr14_speak_fresa;fresa;580.626;509.876;;;;;;
recording_V2L4_p080204_tr150_speak_pavo;pavo;803.609;332.283;;;;chair movement beginning of file;;
recording_V2L4_p080204_tr151_speak_mano;mano;640;336;;;;;;
recording_V2L4_p080204_tr152_type_mano;[type];0;3000;;;;;;
recording_V2L4_p080204_tr153_type_cerdo;[type];0;3000;;;;;;
recording_V2L4_p080204_tr154_type_aguja;[type];0;3000;;;;;;
recording_V2L4_p080204_tr155_speak_aguja;aguja;687.901;464.099;;;;;;
recording_V2L4_p080204_tr156_speak_manzana;manzana;776;520;;;;;;
recording_V2L4_p080204_tr157_speak_conejo;conejo;725.251;524.773;;;;;;
